Age,Male % of Population,Female % of Population
0,0.0056,0.0053
1,0.0056,0.0054
2,0.0055,0.0053
3,0.0057,0.0055
4,0.0058,0.0056
5,0.0059,0.0057
6,0.0061,0.0058
7,0.0062,0.006
8,0.0063,0.006
9,0.0063,0.006
10,0.0062,0.006
11,0.0063,0.006
12,0.0063,0.006
13,0.0065,0.0061
14,0.0066,0.0063
15,0.0068,0.0065
16,0.0068,0.0065
17,0.0067,0.0064
18,0.0067,0.0064
19,0.0067,0.0064
20,0.0066,0.0063
21,0.0066,0.0063
22,0.0067,0.0064
23,0.0067,0.0064
24,0.0066,0.0064
25,0.0066,0.0064
26,0.0066,0.0064
27,0.0066,0.0064
28,0.0067,0.0065
29,0.0069,0.0067
30,0.007,0.0068
31,0.0071,0.007
32,0.0072,0.0071
33,0.0072,0.0071
34,0.007,0.0069
35,0.0069,0.0068
36,0.0068,0.0067
37,0.0068,0.0067
38,0.0068,0.0067
39,0.0066,0.0065
40,0.0067,0.0066
41,0.0067,0.0066
42,0.0066,0.0065
43,0.0066,0.0065
44,0.0063,0.0062
45,0.0061,0.0061
46,0.006,0.006
47,0.0058,0.0058
48,0.0059,0.0059
49,0.0057,0.0058
50,0.0058,0.0059
51,0.0061,0.0061
52,0.0065,0.0065
53,0.0063,0.0064
54,0.0061,0.0061
55,0.0059,0.006
56,0.0059,0.0061
57,0.006,0.0061
58,0.0062,0.0064
59,0.0063,0.0066
60,0.0063,0.0066
61,0.0063,0.0066
62,0.0062,0.0066
63,0.0061,0.0065
64,0.0059,0.0064
65,0.0059,0.0063
66,0.0057,0.0062
67,0.0054,0.006
68,0.0052,0.0058
69,0.005,0.0056
70,0.0048,0.0054
71,0.0045,0.0052
72,0.0043,0.005
73,0.004,0.0047
74,0.0039,0.0046
75,0.0038,0.0045
76,0.004,0.0046
77,0.0027,0.0033
78,0.0026,0.0032
79,0.0024,0.003
80,0.0024,0.003
81,0.002,0.0026
82,0.0017,0.0023
83,0.0015,0.0021
84,0.0013,0.0019
85,0.0012,0.0017
86,0.001,0.0015
87,0.0009,0.0014
88,0.0008,0.0012
89,0.0006,0.001
90,0.0005,0.0009
91,0.0004,0.0008
92,0.0004,0.0007
93,0.0003,0.0006
94,0.0002,0.0005
95,0.0002,0.0004
96,0.0001,0.0003
97,0.0001,0.0002
98,0.0001,0.0002
99,0,0.0001
100+,0.0001,0.0002
