Year,Quarter,STATE,Production,In Bottles & Cans,In Kegs,"Tax-Determined,
Premises Use","For Export,
Vessels &
Aircraft","Consumed On
Brewery
Premises","Stocks On Hand
End-of-Month",Brewery Count
2015,Q1,Alabama,"7,307.48","2,748.11","3,217.78",611.73,0,,"2,362.89",30
2015,Q1,Alaska,,,"15,694.27",617.13,,173.83,"16,779.61",35
2015,Q1,Arizona,"39,212.16","8,548.91","21,112.02","6,614.59",0,327.44,"6,572.19",91
2015,Q1,Arkansas,"3,430.37",549.92,"1,531.63",527.65,0,,"1,547.05",29
2015,Q1,California,"5,339,168.49","4,157,585.82","547,506.36","23,487.31","395,091.49","3,367.33","1,278,126.37",788
2015,Q1,Colorado,"5,411,143.18","4,064,846.74","539,611.53","25,295.72","79,239.57","4,462.13","1,593,711.12",352
2015,Q1,Connecticut,"33,664.06","15,311.16","7,692.78","2,019.14",,86.13,"10,739.89",59
2015,Q1,Delaware,,,,558.29,0,0,,21
2015,Q1,District of Columbia,"6,032.02",,,"1,711.34",0,0,"4,218.48",13
2015,Q1,Florida,,,"340,037.59","6,991.62","10,600.65","1,976.96",,205
2015,Q1,Georgia,"3,585,627.99","2,857,677.20","129,935.84","2,370.01",,518.26,"859,107.09",54
2015,Q1,Hawaii,"12,532.92",,"6,477.15",670.79,0,,"4,123.25",26
2015,Q1,Idaho,"10,852.88","3,727.24","4,005.58",,0,,"4,589.62",57
2015,Q1,Illinois,"318,805.05","280,442.86","44,241.12","9,339.86",,395.12,"45,020.45",210
2015,Q1,Indiana,"38,228.74","10,886.78","15,686.58","7,336.61",0,289.12,"11,933.21",151
2015,Q1,Iowa,"9,634.44","1,706.06","4,704.70","2,419.87",0,57.25,"3,372.95",71
2015,Q1,Kansas,"8,054.23",,"1,645.67","1,581.75",0,,"1,066.70",37
2015,Q1,Kentucky,"22,339.38","19,633.85","6,995.48",699.21,,,"13,810.61",48
2015,Q1,Louisiana,,,"20,883.85","1,174.77",,152.98,,25
2015,Q1,Maine,"58,787.74","26,370.29","23,184.45","1,863.82",0,143.84,"23,209.88",124
2015,Q1,Maryland,"58,730.54","29,977.17","15,921.79","2,508.69",,238.39,"21,882.87",73
2015,Q1,Massachusetts,"72,273.91","29,168.59","29,361.10","3,607.37",,,"20,898.75",84
2015,Q1,Michigan,"224,840.33","112,465.71","75,592.40","10,427.84",,"1,392.79","76,198.43",316
2015,Q1,Minnesota,"146,052.97","67,940.01","37,904.45","3,723.17",0,253.89,"66,483.80",142
2015,Q1,Mississippi,"6,693.06",,,"1,432.00",0,,"1,229.52",14
2015,Q1,Missouri,,,,"2,951.51",,568.4,,90
2015,Q1,Montana,"38,910.58","16,836.69","13,092.74","3,781.40",0,438.83,"14,707.55",74
2015,Q1,Nebraska,"6,825.51","2,771.91","2,429.46","1,522.34",,115.83,"1,733.80",39
2015,Q1,Nevada,"8,485.94",,"1,185.68","5,308.75",0,,"1,972.12",39
2015,Q1,New Jersey,,,,"3,543.05",,565.47,,71
2015,Q1,New Mexico,"18,506.96","6,273.47","5,851.51","3,398.85",0,,"4,541.84",71
2015,Q1,New York,"2,127,776.91","1,615,141.54","128,767.99","12,152.62","44,544.23",557.42,"723,384.03",329
2015,Q1,"New
Hampshire",,,,"1,743.21",,144.92,,63
2015,Q1,North Carolina,,,,"8,551.50",,"1,165.49",,207
2015,Q1,North Dakota,"1,810.89",,,504.75,0,,829.1,11
2015,Q1,Ohio,"5,007,008.44","4,158,017.89","395,618.95","5,469.21",,461.73,"969,374.43",187
2015,Q1,Oklahoma,"4,942.09",,"1,189.13","1,561.39",0,,"1,712.07",21
2015,Q1,Oregon,"380,272.97","238,140.06","107,157.24","15,915.63","4,226.43","1,406.72","101,136.66",281
2015,Q1,Pennsylvania,"1,424,993.98","906,249.15","282,604.30","9,058.74",,676.55,"461,049.80",278
2015,Q1,Rhode Island,"2,569.50",,956.65,157,0,,719.17,15
2015,Q1,South Carolina,"14,364.52","6,012.38","4,906.44","1,420.12",,284.29,"3,466.70",51
2015,Q1,South Dakota,"1,090.04",,,314.26,0,,905.16,19
2015,Q1,Tennessee,"312,982.19",,"18,415.96","3,172.46",,,"90,522.42",88
2015,Q1,Texas,"5,270,789.29","4,413,359.58","262,282.43","9,466.39",,"1,710.63","1,063,102.93",220
2015,Q1,Utah,"44,318.72","23,753.93","14,053.02","1,124.06",0,,"11,705.49",29
2015,Q1,Vermont,"101,590.05","62,010.94","24,268.63","1,495.44",,,"19,561.27",66
