Jurisdiction,Postal Code,FIPS Code,Policies as of,Control,Specific Excise Tax Per Gallon for 5% Alcohol,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Wholesale Tax Rate,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Retail Tax Rate,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Sales Tax Does Not Apply,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Sales Tax Rate,Ad Valorem Excise Tax On-Premises for 5% Alcohol: Sales Tax Adjusted Retail Ad Valorem Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Wholesale Tax Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Retail Tax Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Sales Tax Does Not Apply,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Sales Tax Rate,Ad Valorem Excise Tax Off-Premises for 5% Alcohol: Sales Tax Adjusted Retail Ad Valorem Rate,Additional Taxes for 3.2-6% Alcohol,Notes,Citations Count,Citations,Juris Note,Row Note
Alabama,AL,01,1/1/2010,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2011,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2012,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2013,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2014,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2015,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2016,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2017,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2018,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2019,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2020,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2021,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2022,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alabama,AL,01,1/1/2023,0,$1.05,,,0,,,,,0,,,,,3 Citations,"CS: Ala. Code § 28-3-1

CS: Ala. Code § 28-3-184

CS: Ala. Code § 28-3-190",,
Alaska,AK,02,1/1/2010,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2011,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2012,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2013,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2014,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2015,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2016,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2017,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2018,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2019,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2020,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
Alaska,AK,02,1/1/2021,0,$1.07,,,0,,,,,0,,,,,2 Citations,"CS: Alaska Stat. § 04.21.080

CS: Alaska Stat. § 43.60.010",,
